experiment,collection,ranking_score,log_runtime_mae
paper_mlp_baseline,tile:xla,0.906834,0.332573
paper_mlp_baseline,layout:xla:default,0.169728,0.213963
paper_mlp_baseline,layout:xla:random,0.246902,0.109116
paper_mlp_baseline,layout:nlp:default,0.100199,0.311625
paper_mlp_baseline,layout:nlp:random,0.27521,0.302073
simple_summary_ablation,tile:xla,0.980101,0.2307
simple_summary_ablation,layout:xla:default,0.274937,0.051977
simple_summary_ablation,layout:xla:random,0.20987,0.152496
simple_summary_ablation,layout:nlp:default,0.171676,0.026853
simple_summary_ablation,layout:nlp:random,0.489998,0.072153
repeated_subgraph_hgb,tile:xla,0.982026,0.22435
repeated_subgraph_hgb,layout:xla:default,0.281358,0.058884
repeated_subgraph_hgb,layout:xla:random,0.213575,0.148316
repeated_subgraph_hgb,layout:nlp:default,0.162076,0.025861
repeated_subgraph_hgb,layout:nlp:random,0.476836,0.072571
wl_fingerprint_hgb,tile:xla,0.984712,0.220728
wl_fingerprint_hgb,layout:xla:default,0.286765,0.057272
wl_fingerprint_hgb,layout:xla:random,0.217782,0.147751
wl_fingerprint_hgb,layout:nlp:default,0.162076,0.025861
wl_fingerprint_hgb,layout:nlp:random,0.476836,0.072571
combined_compact_graph_hgb,tile:xla,0.9877,0.21731
combined_compact_graph_hgb,layout:xla:default,0.286865,0.057265
combined_compact_graph_hgb,layout:xla:random,0.217782,0.147751
combined_compact_graph_hgb,layout:nlp:default,0.162076,0.025861
combined_compact_graph_hgb,layout:nlp:random,0.476836,0.072571
