collection,model_family,graph_files
layout:nlp:default,bert,162
layout:nlp:default,electra,17
layout:nlp:default,experts,10
layout:nlp:default,talking-heads,9
layout:nlp:random,bert,171
layout:nlp:random,electra,17
layout:nlp:random,experts,10
layout:nlp:random,talking-heads,9
layout:xla:default,resnet,22
layout:xla:default,bert,8
layout:xla:default,mlperf,7
layout:xla:default,transformer,5
layout:xla:default,inception,3
layout:xla:default,retinanet,3
layout:xla:default,magenta,2
layout:xla:default,mask_rcnn,2
layout:xla:default,mnasnet,2
layout:xla:default,alexnet,1
layout:xla:default,brax,1
layout:xla:default,efficientnet,1
layout:xla:default,ncf,1
layout:xla:default,shapemask,1
layout:xla:default,unet,1
layout:xla:default,xception,1
layout:xla:random,resnet,22
layout:xla:random,mlperf,12
layout:xla:random,bert,8
layout:xla:random,transformer,5
layout:xla:random,inception,3
layout:xla:random,retinanet,3
layout:xla:random,magenta,2
layout:xla:random,mask_rcnn,2
layout:xla:random,mnasnet,2
layout:xla:random,openai,2
layout:xla:random,alexnet,1
layout:xla:random,brax,1
layout:xla:random,efficientnet,1
layout:xla:random,ncf,1
layout:xla:random,shapemask,1
layout:xla:random,trax,1
layout:xla:random,unet,1
layout:xla:random,xception,1
tile:xla,mlperf,1421
tile:xla,resnet,1303
tile:xla,inception,656
tile:xla,retinanet,494
tile:xla,bert,439
tile:xla,transformer,316
tile:xla,mnasnet,280
tile:xla,shapemask,266
tile:xla,openai,168
tile:xla,efficientnet,120
tile:xla,xception,92
tile:xla,mask_rcnn,53
tile:xla,alexnet,28
tile:xla,brax,26
tile:xla,ncf,24
tile:xla,magenta,18
tile:xla,trax,4
tile:xla,unet,1
