collection,split,file_stem,model_family,n_configs,node_count,edge_count,edge_per_node
tile:xla,train,alexnet_train_batch_32_-1bae27a41d70f4dc,alexnet,266,12,11,0.9166666666666666
tile:xla,train,alexnet_train_batch_32_-21d9f3b8c41eb3e3,alexnet,4566,32,31,0.96875
tile:xla,train,alexnet_train_batch_32_-282ddd3271de7d28,alexnet,5203,19,18,0.9473684210526315
tile:xla,train,alexnet_train_batch_32_-3545610a073feea6,alexnet,226,21,20,0.9523809523809523
tile:xla,train,alexnet_train_batch_32_-444744203bcb5069,alexnet,6870,32,32,1.0
tile:xla,train,alexnet_train_batch_32_-5db461c5a6356391,alexnet,226,31,33,1.064516129032258
tile:xla,train,alexnet_train_batch_32_-62a1b4c782bd46c7,alexnet,5419,31,30,0.967741935483871
tile:xla,train,alexnet_train_batch_32_-717b6307713f3645,alexnet,175,19,18,0.9473684210526315
tile:xla,train,alexnet_train_batch_32_-741297d2a8031207,alexnet,8,2,1,0.5
tile:xla,train,alexnet_train_batch_32_-7c4b46d3c4b0423d,alexnet,4592,45,45,1.0
tile:xla,train,alexnet_train_batch_32_-84c81be1d6dc4ec,alexnet,5231,12,11,0.9166666666666666
tile:xla,train,alexnet_train_batch_32_-8a7557b856e7b3b,alexnet,151,52,51,0.9807692307692307
tile:xla,train,alexnet_train_batch_32_-dbaf4baa75e9e3a,alexnet,227,27,26,0.9629629629629629
tile:xla,train,alexnet_train_batch_32_11d55dfd21d1a19c,alexnet,160,30,30,1.0
tile:xla,train,alexnet_train_batch_32_1cc5935062f109b3,alexnet,5563,29,30,1.0344827586206897
tile:xla,train,alexnet_train_batch_32_21b74c4dba464305,alexnet,5343,24,23,0.9583333333333334
tile:xla,train,alexnet_train_batch_32_24aa8731e7561309,alexnet,25,2,1,0.5
tile:xla,train,alexnet_train_batch_32_2db921cb9795b9f5,alexnet,152,27,26,0.9629629629629629
tile:xla,train,alexnet_train_batch_32_449f560eb28987c8,alexnet,4640,30,31,1.0333333333333334
tile:xla,train,alexnet_train_batch_32_45bf92e4b4071319,alexnet,6693,19,18,0.9473684210526315
tile:xla,train,alexnet_train_batch_32_47d47dec2b3855a0,alexnet,345,14,14,1.0
tile:xla,train,alexnet_train_batch_32_491305b51ef1cabb,alexnet,3096,25,25,1.0
tile:xla,train,alexnet_train_batch_32_4ae805e53b8d2b8a,alexnet,5790,31,32,1.032258064516129
tile:xla,train,alexnet_train_batch_32_5114fe64ffb1adbb,alexnet,6859,31,32,1.032258064516129
tile:xla,train,alexnet_train_batch_32_5385ab3df33a9cce,alexnet,2780,19,18,0.9473684210526315
tile:xla,train,alexnet_train_batch_32_5484a5e4e39f44b1,alexnet,265,19,18,0.9473684210526315
tile:xla,train,alexnet_train_batch_32_579e7b2c540f0929,alexnet,605,20,19,0.95
tile:xla,train,alexnet_train_batch_32_6506960125603509,alexnet,160,56,58,1.0357142857142858
tile:xla,train,bert_classifier.2x2.fp32.performance_-1a839ad8d83f8921,bert,117,9,8,0.8888888888888888
tile:xla,train,bert_classifier.2x2.fp32.performance_-26ebeb3a88aaade2,bert,600,52,55,1.0576923076923077
tile:xla,train,bert_classifier.2x2.fp32.performance_-317a531bc62ddcc3,bert,296,41,42,1.024390243902439
tile:xla,train,bert_classifier.2x2.fp32.performance_-384df682d9d39f6f,bert,19,31,31,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_-38b1667a73368ca5,bert,296,57,57,1.0
tile:xla,train,bert_classifier.2x2.fp32.performance_-43ee0987c5036b88,bert,63,7,6,0.8571428571428571
tile:xla,train,bert_classifier.2x2.fp32.performance_-4803869d4443ef81,bert,19,32,36,1.125
tile:xla,train,bert_classifier.2x2.fp32.performance_-48f1f0af8cb866bd,bert,122,13,12,0.9230769230769231
tile:xla,train,bert_classifier.2x2.fp32.performance_-4a0a0b39524e4832,bert,333,37,37,1.0
